ra	 rp	 va	 vomega
3550.0	 10.0	 25115.652729	 104.027962
3560.0	 10.0	 25045.201952	 104.027551
3570.0	 10.0	 24975.145306	 104.027143
3580.0	 10.0	 24905.479493	 104.026737
3590.0	 10.0	 24836.201251	 104.026334
3600.0	 10.0	 24767.307357	 104.025933
3610.0	 10.0	 24698.794619	 104.025533
3620.0	 10.0	 24630.659883	 104.025137
3630.0	 10.0	 24562.900030	 104.024742
3640.0	 10.0	 24495.511974	 104.024349
3650.0	 10.0	 24428.492664	 104.023959
3660.0	 10.0	 24361.839081	 104.023571
3670.0	 10.0	 24295.548239	 104.023184
3680.0	 10.0	 24229.617187	 104.022800
3690.0	 10.0	 24164.043001	 104.022418
3700.0	 10.0	 24098.822793	 104.022038
3710.0	 10.0	 24033.953704	 104.021661
3720.0	 10.0	 23969.432906	 104.021285
3730.0	 10.0	 23905.257603	 104.020911
3740.0	 10.0	 23841.425025	 104.020539
3750.0	 10.0	 23777.932436	 104.020169
3760.0	 10.0	 23714.777125	 104.019801
3770.0	 10.0	 23651.956413	 104.019435
3780.0	 10.0	 23589.467648	 104.019071
3790.0	 10.0	 23527.308205	 104.018709
3800.0	 10.0	 23465.475487	 104.018349
3810.0	 10.0	 23403.966927	 104.017991
3820.0	 10.0	 23342.779981	 104.017634
3830.0	 10.0	 23281.912133	 104.017280
3840.0	 10.0	 23221.360893	 104.016927
3850.0	 10.0	 23161.123798	 104.016576
3860.0	 10.0	 23101.198410	 104.016227
3870.0	 10.0	 23041.582315	 104.015880
3880.0	 10.0	 22982.273124	 104.015534
3890.0	 10.0	 22923.268475	 104.015191
3900.0	 10.0	 22864.566026	 104.014849
3910.0	 10.0	 22806.163463	 104.014509
3920.0	 10.0	 22748.058494	 104.014170
3930.0	 10.0	 22690.248849	 104.013834
3940.0	 10.0	 22632.732283	 104.013498
3950.0	 10.0	 22575.506572	 104.013165
3960.0	 10.0	 22518.569517	 104.012834
3970.0	 10.0	 22461.918938	 104.012504
3980.0	 10.0	 22405.552678	 104.012175
3990.0	 10.0	 22349.468604	 104.011849
4000.0	 10.0	 22293.664600	 104.011524
4010.0	 10.0	 22238.138575	 104.011200
4020.0	 10.0	 22182.888455	 104.010878
4030.0	 10.0	 22127.912191	 104.010558
4040.0	 10.0	 22073.207751	 104.010239
4050.0	 10.0	 22018.773124	 104.009922
4060.0	 10.0	 21964.606318	 104.009607
4070.0	 10.0	 21910.705363	 104.009293
4080.0	 10.0	 21857.068305	 104.008981
4090.0	 10.0	 21803.693211	 104.008670
4100.0	 10.0	 21750.578167	 104.008360
4110.0	 10.0	 21697.721276	 104.008052
4120.0	 10.0	 21645.120663	 104.007746
4130.0	 10.0	 21592.774466	 104.007441
4140.0	 10.0	 21540.680845	 104.007138
4150.0	 10.0	 21488.837976	 104.006836
4160.0	 10.0	 21437.244053	 104.006535
4170.0	 10.0	 21385.897287	 104.006236
4180.0	 10.0	 21334.795906	 104.005939
4190.0	 10.0	 21283.938156	 104.005642
4200.0	 10.0	 21233.322298	 104.005348
4210.0	 10.0	 21182.946610	 104.005054
4220.0	 10.0	 21132.809388	 104.004762
4230.0	 10.0	 21082.908942	 104.004472
4240.0	 10.0	 21033.243599	 104.004182
4250.0	 10.0	 20983.811701	 104.003894
4260.0	 10.0	 20934.611606	 104.003608
4270.0	 10.0	 20885.641687	 104.003323
4280.0	 10.0	 20836.900333	 104.003039
4290.0	 10.0	 20788.385947	 104.002756
4300.0	 10.0	 20740.096948	 104.002475
4310.0	 10.0	 20692.031769	 104.002195
4320.0	 10.0	 20644.188857	 104.001916
4330.0	 10.0	 20596.566674	 104.001639
4340.0	 10.0	 20549.163696	 104.001363
4350.0	 10.0	 20501.978413	 104.001088
4360.0	 10.0	 20455.009329	 104.000815
4370.0	 10.0	 20408.254960	 104.000542
4380.0	 10.0	 20361.713839	 104.000271
4390.0	 10.0	 20315.384510	 104.000001
